gloss,synsetname,relationid
በሃሳብ ተዋጠ ፣ ፍቅር ውስጥ ገባ፣ ፎንቃ(የአራዳ ቋንቋ),ሰመጠ,6
ውሉን አፈረሰ፣ ተወ፣ ሻረ,ሰረዘ,0
በጽሑፍ ላይ አሰመረ,ሰረዘ,6
እንቁ ዉይም ሉልን የምትወልድ የባህር ፍጥረት,ሰደፍ,0
የጠመንጃ እግር ላት,ሰደፍ,6
በስንዝር ለካ መጠነ,ሰነዘረ,0
በበትር ወይም በእጅ ለመምታት ቃጣ,ሰነዘረ,2
ቆዳን ለመግፈፍ እንዲያመች ከጅራት እስከ ጉሮሮ፣ ከቀኝ እግር ጫፍ እስከ ግራ እግር ጫፍ በመስመር ሰነጠቀ,ሰነዘረ,6
በአፍንጫ ቀዳዳ ወደ ጎን ሽቦን ወይም ላባን አስገባ,ሰነገ,0
በቃሪያ ውስጥ ያለን ፍሬ አውጥቶ ጨው፣ ሽንኩርት ጨመረ,ሰነገ,6
አጥብቆ ወጥሮ ያዘ,ሰነገ,4
የፈረስን፣ የበቅሎን፣ የበሬን አባለ ዘር አኮላሸ፣ ቀጠቀጠ,ሰነጋ,6
አጥብቆ ወጥሮ ያዘ,ሰነጋ,0
በሚሻክርና በሚጎረብጥ ነገር ላይ በመተኛት ወይም በግርፋት የተናሳ በአካል ላይ የሚጋደም መልክት፣ መስመር  ,ሰንበር,0
በእንስሳት ጨጓራ መገጣጠሚያ ላይ የሚገኝ እንደ ደንደስ ያለ ወፈራሙና ልሙጡ ክፍል,ሰንበር,6
የነጠላ ጫማ አይነት,ሰነደል,0
ሲያጨሱት ጥሩ ሽታ ያለዉና በቀጭን ዘንግ መልክ የሚዘጋጅ የቤት ማጠኛ እንጨት,ሰንደል,6
ዝምዝምት ጌጥ ቅምቅማት ሽልማት,ሰገጥ,0
መሬት ውስጥ የተተከለና ለመንቀል የሚያስቸግር ድንጋይ,ሰገጥ,6
ተንበረከከ አጎነበሰ፣ ተደፋ,ሰገደ,0
ተሸነፈ እጅ ሰጠ የሌላዉን የበላይነት አወቀ,ሰገደ,6
ለካ መጠነ ለኬቱን ማወቅ,ሰፈረ,0
ከአፍ እስከገደፉ ጢም አድርጎ ሞላ,ሰፈረ,6
መኖሪያ ቦታ ያዘ፣ ነዋሪ ሆነ ቆጥ ላይ ወጣ,ሰፈረ,4
ተጻፈ፣ ተመዘገበ(ሰነድ ላይ),ሰፈረ,1
ተሽቆጠቆጠ እሽ አሜን ብሎ ተገዛ,ሰጥ,6
ላጋስ ቸር የሆን ሰው,ሰጥ,0
በመርፊና በክር አያያዘ ጠቆመ፣ ዘመዘመ,ሰፋ,0
ከልክ በላይ ሆነ ተንቦረቀቀ,ሰፋ,6
ቢጫ አበባ ያለዉና ፍሬዉ የመብል ዘይት የሚወጣው ሰብል,ሱፍ,6
ከበግ ጸጉር የሚሰራ ጨርቅ,ሱፍ,0
ብልህ አዋቂ,ሲራክ,0
በወረቀትና በብራና ገጽ ላይ ጽሁፍ የሚያርፍበት ቦታ ወይም መስመር,ሲራክ,6
ከጉንፋን ወይም ኮሮና በሽታ የተነሳ ከጉሮሮው አየርን በሃይልና በተደጋጋሚ አስወጣ ኡህ ኡህ አለ።,ሳለ,2
ሞረደ፣ አሾለ፣ አተባ፣ ስለት አወጣ,ሳለ,0
የአንድን ነገር መልክ፣ ቅርፅ ወይም አንድን አይነተ ሀሳብ በስዕል አሳየ,ሳለ,6
አዘነ ራራ,ሳሳ,0
ስስ ሆነ ቀጠነ ወይም ተራራቀ,ሳሳ,6
ወጠረ፣ ገተረ,ሳበ,0
ጎተተ ወደ ራሱ አስጠጋ,ሳበ,6
ለመዝጊያ ለወለል ወይም ለሌላ የእንጨት ስራ እንዲሆን ከትልቅ ዛፍ በስሱ እየተላገና እየተጠረበ የሚዎጣ እንጨት,ሳንቃ,0
ከብር ከወርቅ የሚሰራና በደረት በኩል የሚሆን የለምድ ወይም የካባ ማያያዣ,ሳንቃ,6
ማንኛውም እጽዋት ምግቡን ከአፈር ውስጥ የሚወስድበት ከመሬት ወለል በታች ያለዉ የተክሉ ክፍል,ስር,0
በሰዉ በእንስሳትና አእዋፋት አካል ውስጥ የደንም ማመላለሻ ሆኖ የሚያገለገል ቀጫጭን ጅማት,ስር,6
ያማረ የተዋበ,ስብቅል,0
የተመሰቃቀለ,ስብቅል,6
አጥብቆ ወጥሮ የሚይዝ ነገር,ስንግ,0
የእንግዴ ልጅ,ስንግ,6
በዜማና በግጥም የሰራዉን ጀብዱ እያጠቃለለ አቅራራ,ሸለለ,0
አጌጠ ተሽቀረቀረ፣ ተሽሞነሞነ,ሸለለ,6
ለፈጸመው ስራ ማበረታቻ የገንዘብ የቁሳቁስ ሽልማት ሰጠ,ሸለመ,0
አስጌጠ፣ አስቆነጀ አስዋበ,ሸለመ,6
አሰበ፣ አሰላ፣ ለካ፣ ገመተ,ሸለገ,0
ሆዱን ወደ ውስጥ አስጠጋ አጣበቀ ,ሸለገ,6
አታለለ አሳተ ሸነገለ,ሸለገ,1
ላጨ መደመደ(ጸጉሩን),ሸለተ,6
አታለለ,ሸለተ,0
መዘዘ፣ አወጣ,ሸለቀቀ,0
ላጠ፣ ገፈፈ፣ ገፈፈ፣ ቀረፈፈ,ሸለቀቀ,6
በብዛት ቃመ፣ በላ(ፈረስ፣ በቅሎ),ሸመሸመ,0
ከረተፈ፣ ሸረከተ፣ በቀላሉ ፈጨ,ሸመሸመ,6
ከጭራ ከጠፍር የተበጀ የወፍ የአዉሬ መያዣወይም ማነቂያ ወጥመድ,ሽምቀቆ,0
አንደኛውን ጫፍ ሳብ ሲያደርጉት እንዲጠብቅ ሆኖ የታሰረ ወይም የተቋጠረ ገመድ,ሸምቀቆ,6
ዠመገገ፣ መዠረገ፣ ለቀመ,ሸመጠጠ,0
ተርታውን በተተከሉ ቋሚ፣ የአጥር እንጨቶች ላይ እንደ አጋም,ሸመጠጠ,6
ጨልጦ ጠጣ,ሸመደደ,0
ቃል በቃል አጠና,ሸመደደ,6
ከመጋረጃ ጨርቅ ጋር ተያይዘው ወደ ግራና ቀኝ እየተነሸራተቱ መጋረጃዉ እንዲከፈትና እንዲዘጋ የሚያደርጉ ዘንግ ወይም ብረት,ሸሪራ,6
ኮርኒስ ላይ የሚመታ ቀጭን እነደ ማስመሪያ ያለ እንጨት,ሸሪራ,0
ነገርን ሴራን አውጠነጠነ፣ ዶለተ,ሸረበ,0
ሶስት ወይም አራት የሚሆኑ ገመዶችን በአንድነት ደበለ,ሸረበ,6
ወጋ ዘነጠለ,ሸረከተ,0
ቀደደ፣ ዘረከተ፣ ተረተረ,ሸረከተ,6
ነዘነዘ፣ አመመ,ሸቀሸቀ,0
 ሰቀሰቀ መላልሶ ወጋ,ሸቀሸቀ,6
የአህያን፣ የበግን፣ አንዱን እግር እንዳይንቀሳቀስ ኮርትሞ አሰረ,ሸነከፈ,0
በጣም ሳያጠብቅ ላላ አድርጎ አሰረ,ሸነከፈ,6
ክብደት ያለውን ነገር በትክሻው ያዘ,ተሸከመ,0
ሀላፊነትን ተቀበለ፣ ታገሰ,ተሸከመ,6
ማግን ሹራብን ጥብቀት እንዳይኖረው ዘርዘር አድርጎ ሰራ,ሸከሸከ,0
ገለባን ቂንድን ወይም አሰርን ከፍሬው ለመለየት እህልን በሙቀጫ ላላ አድርጎ ወቀጠ,ሸከሸከ,6
ክፋት ተንኮል,ሸክ,0
ፈራ ተንጠራራ,ሸክ,6
ቀልበቢስ ከአንድ የማይረጋ,ሸውሸዌ,0
ንፋስ ሲነካው ሽው፣ ሽው የሚል የዛፍ አይነት,ሸዉሸዌ,6
አስቀመጠ ነዳ(ተቅማጥ),ሸደሸደ,0
ሰፋ፣ ወሰወሰ፣ ሸከሸከ ዘርዘር አድርጎ ሰራ,ሸደሸደ,6
በሚናጥ ወተት ላይ ቅባቱ ከላይ ሰፎ እንደጤፍ ፍሬ ጉብ ጉብ ብሎ ታየ,ሸፈተ,0
አመፀ፣ ከዳ ተለየ,ሸፈተ,6
ቻለ አጠቃለለ ከፈለ,ሸፈነ,0
አለበሰ፣ ጋረደ፣ ከለለ,ሸፈነ,6
አለበሰ፣ ጋረደ፣ ከለለ,ሸፈነ,
